 Time, LocationX , LocationY , Velocity 
2.0,579.34,253.98,118.431
3.0,579.34,253.98,0
4.0,581,235.72,111.211
5.0,585.98,231.57,106.35
6.0,585.98,231.57,95.58
7.0,590.13,219.95,94.317
8.0,590.13,219.95,107.791
9.0,590.13,219.95,12.339
10.0,590.13,219.95,69.07
11.0,590.13,219.95,69.07
12.0,595.11,151.06,81.026
13.0,595.11,151.06,69.07
14.0,595.11,151.06,69.07
15.0,595.11,151.06,25.393
16.0,590.96,136.12,83.834
17.0,590.96,136.12,13.511
18.0,590.96,136.12,27.188
19.0,600.09,126.16,129.493
20.0,600.09,126.16,48.998
21.0,600.09,126.16,16.929
22.0,600.09,126.16,25.393
23.0,600.09,126.16,94.317
24.0,600.09,126.16,111.211
25.0,602.58,112.88,107.791
26.0,596.77,109.56,16.929
27.0,596.77,109.56,145.468
28.0,596.77,109.56,27.188
29.0,596.77,109.56,41.533
30.0,601.75,77.19,32.751
30.0,599.26,87.15,22.548
