 Time, LocationX , LocationY , Velocity 
2.0,668.15,929.6,53.488
3.0,668.15,929.6,54.007
4.0,668.15,929.6,15.032
5.0,668.15,929.6,24.9
6.0,668.15,929.6,8.978
7.0,668.15,929.6,0
8.0,673.13,929.6,48.638
9.0,673.13,929.6,31.693
10.0,673.13,929.6,10.097
11.0,673.13,929.6,4.98
12.0,683.09,927.94,10.097
13.0,683.09,927.94,32.614
14.0,683.09,927.94,15.032
15.0,663.17,922.13,21.913
16.0,678.94,914.66,18.429
17.0,678.94,914.66,35.214
18.0,678.94,914.66,20.075
19.0,688.07,914.66,24.9
20.0,680.6,908.85,22.054
21.0,695.54,907.19,18.203
22.0,668.98,897.23,35.93
23.0,668.98,897.23,33.796
24.0,691.39,896.4,40.526
25.0,704.67,893.08,33.582
26.0,707.16,892.25,36.036
27.0,707.16,892.25,0
28.0,702.18,890.59,33.857
29.0,702.18,890.59,51.767
30.0,703.84,889.76,1.856
30.0,703.84,889.76,50.302
