 Time, LocationX , LocationY , Velocity 
2.0,292.99,168.49,25.636
3.0,292.99,168.49,0
4.0,292.99,168.49,25.636
5.0,292.99,168.49,28.415
6.0,291.33,197.54,1.856
7.0,291.33,197.54,0
8.0,289.67,196.71,0
9.0,289.67,196.71,1.856
10.0,289.67,196.71,0
11.0,289.67,196.71,10.822
12.0,289.67,196.71,28.415
13.0,289.67,196.71,0
14.0,289.67,196.71,7.424
15.0,289.67,196.71,10.822
16.0,280.54,190.9,10.822
17.0,280.54,190.9,12.669
18.0,280.54,190.9,10.822
19.0,280.54,190.9,25.636
20.0,280.54,190.9,25.636
21.0,280.54,190.9,0
22.0,280.54,190.9,3.521
23.0,278.05,188.41,3.521
24.0,278.05,188.41,14.28
25.0,278.05,188.41,0
26.0,278.05,188.41,7.043
27.0,283.03,183.43,0
28.0,283.03,183.43,7.043
29.0,283.03,183.43,7.874
30.0,283.03,183.43,0
30.0,283.03,193.39,9.96
