 Time, LocationX , LocationY , Velocity 
2.0,707.99,898.89,68.373
3.0,707.99,898.89,47.513
4.0,707.99,898.89,63.02
5.0,707.99,898.89,69.843
6.0,707.99,898.89,0
7.0,732.89,897.23,55.98
8.0,732.89,897.23,51.467
9.0,739.53,891.42,42.84
10.0,739.53,891.42,32.413
11.0,739.53,891.42,48.85
12.0,752.81,883.12,40.15
13.0,752.81,883.12,47.513
14.0,752.81,883.12,25.12
15.0,751.15,878.97,29.799
16.0,756.13,858.22,37.119
17.0,756.13,858.22,37.119
18.0,756.13,858.22,45.408
19.0,756.13,858.22,8.464
20.0,765.26,861.54,48.183
21.0,765.26,861.54,25.243
22.0,764.43,856.56,0
23.0,764.43,856.56,8.464
24.0,764.43,856.56,26.049
25.0,764.43,856.56,5.049
26.0,757.79,849.92,9.39
27.0,757.79,849.92,69.843
28.0,747.83,843.28,68.408
29.0,747.83,843.28,17.091
30.0,747.83,843.28,40.15
30.0,747.83,843.28,40.15
