 Time, LocationX , LocationY , Velocity 
2.0,522.9,551.12,95.146
3.0,522.9,551.12,95.146
4.0,522.9,551.12,0
4.0,466.46,523.73,61.049
5.0,522.9,551.12,58.384
5.0,466.46,523.73,160.405
6.0,522.9,551.12,0
6.0,466.46,523.73,61.049
7.0,522.9,524.56,0
7.0,466.46,523.73,61.049
8.0,466.46,523.73,62.735
8.0,527.05,516.26,63.781
9.0,527.05,516.26,61.049
9.0,466.46,536.18,58.384
10.0,527.05,516.26,73.271
10.0,466.46,536.18,12.45
11.0,527.05,516.26,74.038
11.0,466.46,536.18,107.612
12.0,527.05,516.26,43.833
12.0,466.46,536.18,12.45
13.0,527.05,516.26,58.248
13.0,466.46,536.18,24.198
14.0,466.46,536.18,0
15.0,466.46,536.18,145.459
16.0,466.46,536.18,63.781
17.0,466.46,536.18,107.612
18.0,466.46,536.18,136.746
19.0,466.46,536.18,58.384
20.0,568.55,502.15,107.612
21.0,568.55,502.15,104.346
22.0,568.55,502.15,43.833
23.0,568.55,502.15,107.612
24.0,600.92,511.28,26.063
25.0,600.92,511.28,79.142
26.0,600.09,510.45,136.085
27.0,610.05,512.94,145.459
28.0,610.05,512.94,145.459
29.0,610.05,512.94,143.995
30.0,468.95,512.11,100.097
30.0,626.65,515.43,161.528
30.0,468.95,512.11,58.248
30.0,626.65,515.43,161.528
