 Time, LocationX , LocationY , Velocity 
2.0,239.87,509.62,79.999
3.0,237.38,517.92,67.276
4.0,237.38,517.92,86.116
5.0,237.38,517.92,68.444
6.0,237.38,517.92,0
7.0,237.38,517.92,0
8.0,237.38,517.92,0
9.0,237.38,517.92,67.276
10.0,237.38,517.92,67.276
11.0,237.38,517.92,67.276
12.0,237.38,517.92,0
13.0,237.38,517.92,86.116
14.0,237.38,517.92,68.444
15.0,237.38,517.92,0
16.0,237.38,517.92,0
17.0,195.05,465.63,62.801
18.0,195.05,465.63,29.66
19.0,195.05,465.63,29.66
20.0,195.05,465.63,67.276
21.0,194.22,464.8,24.58
22.0,194.22,464.8,24.58
23.0,194.22,464.8,0
24.0,194.22,464.8,68.444
25.0,199.2,440.73,86.116
26.0,199.2,440.73,24.58
27.0,199.2,440.73,86.116
28.0,199.2,440.73,86.116
29.0,199.2,440.73,86.116
30.0,204.18,437.41,87.087
30.0,204.18,437.41,87.087
