 Time, LocationX , LocationY , Velocity 
2.0,110.39,368.52,83.978
3.0,110.39,368.52,89.771
4.0,101.26,346.11,62.823
5.0,101.26,346.11,65.67
6.0,101.26,346.11,12.085
7.0,97.94,334.49,36.236
8.0,97.94,334.49,19.729
9.0,97.94,334.49,36.236
10.0,97.94,334.49,0
11.0,97.94,334.49,19.729
12.0,97.94,334.49,59.766
13.0,102.92,315.4,0
14.0,102.92,315.4,19.729
15.0,102.92,315.4,30.811
16.0,102.92,315.4,19.729
17.0,102.92,315.4,0
18.0,102.92,315.4,0
19.0,117.86,285.52,62.823
20.0,105.41,284.69,12.965
21.0,105.41,284.69,30.811
22.0,105.41,284.69,0
23.0,105.41,284.69,50.357
24.0,97.11,274.73,59.766
25.0,97.11,274.73,71.501
26.0,97.11,274.73,16.37
27.0,83,283.03,65.67
28.0,83,283.03,0
29.0,83,283.03,16.37
30.0,83,283.03,0
30.0,83,283.03,22.471
