 Time, LocationX , LocationY , Velocity 
2.0,611.71,395.08,24.969
3.0,611.71,395.08,57.486
4.0,624.16,407.53,0
5.0,624.16,407.53,25.943
6.0,635.78,401.72,109.516
7.0,633.29,398.4,94.653
8.0,633.29,398.4,124.057
9.0,633.29,398.4,21.787
10.0,649.89,419.15,120.221
11.0,649.89,404.21,17.587
12.0,649.89,404.21,39.256
13.0,649.89,384.29,74.446
14.0,649.89,384.29,98.979
15.0,654.87,385.95,44.115
16.0,666.49,377.65,87.186
17.0,684.75,347.77,85.102
18.0,695.54,326.19,108.219
19.0,688.07,321.21,94.653
20.0,688.07,320.38,73.496
21.0,686.41,304.61,106.084
22.0,686.41,304.61,16.703
23.0,678.94,285.52,102.953
24.0,678.94,289.67,132.699
25.0,678.94,289.67,58.39
26.0,684.75,285.52,5.81
30.0,668.98,290.5,113.649
